Gene	LogFC	V4	m210_1
RAB3B	1.824431819	ensembl_havana	protein_coding
FBXL2	1.513688576	ensembl_havana	protein_coding
ZNF597	1.472644869	ensembl_havana	protein_coding
ZNF765	1.371339395	ensembl_havana	protein_coding
ATL3	1.365165505	ensembl_havana	protein_coding
RBBP9	1.358985563	ensembl_havana	protein_coding
KBTBD8	1.344762402	ensembl_havana	protein_coding
CCNE2	1.33819765	ensembl_havana	protein_coding
PRICKLE2	1.310173084	ensembl_havana	protein_coding
COX15	1.297129769	ensembl_havana	protein_coding
UBE2L6	1.294759722	ensembl_havana	protein_coding
CYP2J2	1.292920021	ensembl_havana	protein_coding
MATR3	1.281908034	ensembl_havana	protein_coding
ARID5B	1.278780699	ensembl_havana	protein_coding
LIN52	1.274108893	ensembl_havana	protein_coding
ZNF425	1.268946328	ensembl_havana	protein_coding
TBCCD1	1.255588659	ensembl_havana	protein_coding
FZD4	1.25062344	ensembl_havana	protein_coding
KIF24	1.247222548	ensembl_havana	protein_coding
DYNC2LI1	1.246576633	ensembl_havana	protein_coding
ADAM29	1.244849509	ensembl_havana	protein_coding
ZNF257	1.238669966	ensembl_havana	protein_coding
RC3H1	1.213350971	ensembl_havana	protein_coding
ZNF652	1.212618762	ensembl_havana	protein_coding
ZNF35	1.2117241	ensembl_havana	protein_coding
CAPN9	1.208339059	ensembl_havana	protein_coding
GINS3	1.207709572	ensembl_havana	protein_coding
ZNF761	1.207619557	ensembl_havana	protein_coding
PHTF1	1.194054683	ensembl_havana	protein_coding
ZBTB26	1.191776271	ensembl_havana	protein_coding
MTPAP	1.185581931	ensembl_havana	protein_coding
VPS8	1.18433791	ensembl_havana	protein_coding
RCAN3	1.171258003	ensembl_havana	protein_coding
IL1R1	1.162905762	ensembl_havana	protein_coding
ALG11	1.154235956	ensembl_havana	protein_coding
PPM1H	1.151384862	ensembl_havana	protein_coding
KCTD21	1.150873235	ensembl_havana	protein_coding
GDPD3	1.139886635	ensembl_havana	protein_coding
STK35	1.138092783	ensembl_havana	protein_coding
SLC39A9	1.135931852	ensembl_havana	protein_coding
TTI1	1.135776374	ensembl_havana	protein_coding
VIPAS39	1.134864588	ensembl_havana	protein_coding
CSNK2A2	1.131920299	ensembl_havana	protein_coding
SERAC1	1.124013588	ensembl_havana	protein_coding
CTDSPL2	1.123499999	ensembl_havana	protein_coding
DBR1	1.122348061	ensembl_havana	protein_coding
RHBDD1	1.114042039	ensembl_havana	protein_coding
RWDD2B	1.108921922	ensembl_havana	protein_coding
RNF25	1.107574232	ensembl_havana	protein_coding
PLEKHS1	1.106912284	ensembl_havana	protein_coding
SRSF6	1.099448777	ensembl_havana	protein_coding
ZNF442	1.098459502	ensembl_havana	protein_coding
TIGD1	1.097279061	ensembl_havana	protein_coding
TTC37	1.096083243	ensembl_havana	protein_coding
OSBPL9	1.095572461	ensembl_havana	protein_coding
ZNF708	1.091139885	ensembl_havana	protein_coding
COX10	1.08410951	ensembl_havana	protein_coding
SEC24C	1.083255875	ensembl_havana	protein_coding
SPG20	1.082013616	ensembl_havana	protein_coding
TAF1A	1.081424362	ensembl_havana	protein_coding
NF2	1.079570124	ensembl_havana	protein_coding
PTCD2	1.066899841	ensembl_havana	protein_coding
GAD1	1.064560251	ensembl_havana	protein_coding
CDC7	1.061876023	ensembl_havana	protein_coding
DTL	1.061767996	ensembl_havana	protein_coding
ACVR2A	1.060695218	ensembl_havana	protein_coding
CLEC2D	1.059906091	ensembl_havana	protein_coding
EFNA5	1.059316356	ensembl_havana	protein_coding
