	mt1.lane.clean.uniquified.fa.gz	mt2.lane.clean.uniquified.fa.gz	mt3.lane.clean.uniquified.fa.gz	wt1.lane.clean.uniquified.fa.gz	wt2.lane.clean.uniquified.fa.gz	wt3.lane.clean.uniquified.fa.gz
mmu-mir-9-2-5p	12737677	6800940	4756215	9576724	9122114	5969341
mmu-mir-148a-3p	1743661	1163327	665104	2613705	3561044	1930617
mmu-let-7f-2-5p	1633503	1073539	680484	3149173	2011454	1536293
mmu-let-7i-5p	2505192	1392807	1173940	3131739	2550964	2067746
mmu-mir-21a-5p	2895348	1881237	632888	1926974	2817469	2758748
mmu-mir-99a-5p	2547407	1397176	1058276	2193084	1623638	1293428
mmu-let-7g-5p	981436	471151	425440	1967987	1259372	712046
mmu-mir-10a-5p	1765225	1205053	1477216	1763035	594510	225172
mmu-mir-30a-5p	989767	464578	348677	1037353	1325439	559114
mmu-mir-10b-5p	1166678	620736	739350	131751	225647	142562
mmu-mir-99b-5p	718904	369304	263449	939088	637937	569795
mmu-let-7c-2-5p	618849	364329	282533	932674	369354	359126
mmu-mir-30d-5p	529071	282664	222031	810999	617872	395583
mmu-mir-9-2-3p	641056	316812	235616	780758	407208	221234
mmu-mir-100-5p	743032	369310	226810	380662	670469	707623
mmu-mir-26a-2-5p	532699	294571	201472	716180	334922	231664
mmu-let-7a-2-5p	157995	97018	80857	599726	178327	136813
mmu-mir-467a-9-5p	9273	2828	2693	17004	519900	8436
mmu-mir-27b-3p	200580	88316	57962	445751	288029	146297
mmu-mir-5099-3p	146763	121268	54420	425295	298852	274155
mmu-mir-30c-1-5p	186457	99782	83979	389945	187430	96231
mmu-mir-103-2-3p	278841	119452	80947	373334	364565	136897
mmu-mir-151-3p	139408	107769	49209	355976	179092	257637
mmu-mir-182-5p	3348	193	186	223	344792	5629
mmu-mir-335-3p	63157	37598	20311	325566	92356	64788
mmu-mir-25-3p	171572	94170	78744	289717	202729	139168
mmu-mir-92a-1-3p	114243	82723	50488	281211	163039	94870
mmu-mir-125b-1-5p	264145	131714	98597	248479	132958	109218
mmu-mir-7a-2-5p	116683	77288	47683	242445	251661	147082
mmu-mir-101b-3p	109327	58398	34485	119762	238406	82433
mmu-mir-148b-3p	192706	77732	68211	234564	206095	132765
mmu-mir-669c-5p	6581	5119	2007	19169	224677	4556
mmu-mir-340-5p	149932	83884	50049	222273	217457	62787
mmu-mir-20a-5p	114874	63073	39292	217177	191018	40784
mmu-mir-181b-2-5p	104717	70691	44503	216173	85594	72386
mmu-let-7b-5p	123620	86961	54368	191304	67066	72276
mmu-let-7d-5p	56165	35126	27184	189500	48385	43355
mmu-mir-532-5p	99751	64550	34997	169876	118084	85580
mmu-mir-191-5p	73516	35947	26588	169199	105032	41459
mmu-mir-542-3p	20526	11193	6285	26228	160284	9883
mmu-mir-488-3p	129654	51863	42684	158730	131457	86183
mmu-mir-183-5p	1963	107	122	119	157240	3160
mmu-mir-181a-2-5p	128960	70966	47000	154909	90007	64245
mmu-mir-93-5p	89084	45483	31914	153468	112066	42358
mmu-mir-17-5p	71070	42997	26534	149674	121288	31085
mmu-mir-30e-5p	96953	55640	32215	143052	119988	43966
mmu-mir-34c-5p	79961	22111	25253	135508	115325	21754
mmu-mir-92b-3p	131478	65010	44954	86352	52135	45960
mmu-mir-128-1-3p	40485	31663	14492	123419	32190	44179
mmu-mir-101a-3p	72103	34487	20222	61638	110822	38115
mmu-mir-322-3p	33845	19612	16912	54440	104415	25886
mmu-mir-30a-3p	78889	41127	28872	99217	67689	66435
mmu-mir-129-1-5p	62735	37989	36341	97769	37886	32860
mmu-mir-106b-3p	44200	25307	17349	91835	60345	45793
mmu-mir-674-3p	23911	19169	9951	89540	37467	31550
mmu-mir-26b-5p	60914	24600	22979	88994	52461	30832
mmu-mir-98-5p	43252	24592	14499	88555	39387	26396
mmu-mir-378a-3p	82190	68409	46468	80271	76602	49310
mmu-mir-30e-3p	50572	29978	19102	79172	51533	52948
mmu-mir-335-5p	47433	27433	13046	78747	52859	14724
mmu-mir-199a-1-3p	24580	9114	6910	47383	77662	38328
mmu-mir-152-3p	41042	21189	9358	59894	77592	15241
mmu-mir-140-3p	71906	34289	26737	57801	76177	37538
mmu-mir-423-3p	33853	18682	14721	75908	33282	28615
mmu-mir-181a-1-3p	58109	23676	18611	72260	72133	40556
mmu-mir-872-5p	57255	32012	19382	72033	45232	25406
mmu-mir-1839-5p	62866	30171	16438	71866	58545	35687
mmu-mir-3963-5p	34405	10968	11644	70763	24684	26572
mmu-mir-361-3p	38756	23802	17162	70678	52480	42498
mmu-let-7e-5p	38522	29366	17680	68230	33571	29441
mmu-mir-125b-1-3p	66236	40923	18472	61960	43598	55277
mmu-mir-744-5p	16768	10940	8185	65936	19118	17399
mmu-mir-328-3p	25835	17756	9021	65849	20838	15951
mmu-mir-351-5p	46285	23137	18416	62265	37248	25942
mmu-mir-9-1-3p	19776	12774	7416	61796	23341	19868
mmu-mir-125a-5p	31567	18486	14393	56295	11082	13553
mmu-mir-99b-3p	29668	16481	11875	53676	27294	29882
mmu-mir-5117-5p	12210	10214	6801	52410	35727	13122
mmu-mir-186-5p	24296	19303	8364	51970	30963	14292
mmu-mir-181d-5p	14871	11613	8023	51067	19549	18605
mmu-mir-320-3p	19418	13811	9336	50042	38106	15972
mmu-mir-5109-3p	49567	21722	6680	22530	31862	21289
mmu-mir-199a-1-5p	6407	1994	1308	8088	47541	26844
mmu-mir-669a-5-5p	1328	885	405	3214	46452	1077
mmu-mir-484-5p	9425	6396	4883	45172	13563	7296
mmu-mir-298-5p	13422	9781	5498	43479	22627	14289
mmu-mir-296-3p	6858	7040	4258	43397	13265	11665
mmu-mir-181a-2-3p	41669	22079	16241	37024	23325	24675
mmu-mir-344-1-3p	40209	18165	10951	35120	22374	17931
mmu-mir-210-3p	13100	15792	3914	22184	39672	13325
mmu-mir-143-3p	39508	14833	11167	24071	31589	32403
mmu-mir-455-5p	30307	20657	13001	38813	24182	15346
mmu-mir-146b-5p	34019	17918	9982	38770	29098	34677
mmu-mir-92a-2-3p	19148	11997	6854	38173	17870	9097
mmu-mir-16-2-5p	33319	27785	10869	34166	31993	11012
mmu-mir-467e-5p	1008	531	355	2150	32660	889
mmu-let-7d-3p	12693	8348	5158	30873	11162	8095
mmu-mir-146a-5p	13652	6483	5045	29606	14982	3924
mmu-mir-1198-5p	13540	8112	5418	29180	9807	13290
mmu-let-7c-2-3p	14837	4276	5601	29044	12390	5527
mmu-mir-192-5p	27673	13036	11603	27985	28855	15618
mmu-mir-374b-5p	12487	7056	4628	28013	23732	6235
mmu-mir-503-5p	8184	4446	2913	10310	26492	2947
mmu-mir-1983-3p	8468	8741	3511	26437	13406	6471
mmu-mir-450a-2-5p	4859	3614	2030	9024	25764	3224
mmu-mir-185-5p	17511	10165	7156	25351	16064	9864
mmu-mir-16-1-3p	24336	14390	8999	25091	24746	19984
mmu-mir-501-3p	6640	4649	2600	24999	7199	5035
mmu-mir-423-5p	9183	7636	4838	24707	13051	12060
mmu-mir-450b-5p	2560	2244	1179	4466	23319	2797
mmu-mir-127-3p	22942	7412	18805	5892	7572	5263
mmu-mir-672-5p	9794	5836	3431	22938	10325	7635
mmu-mir-125b-2-3p	22632	12578	8518	19111	14790	9813
mmu-mir-23b-3p	8168	4272	2508	21547	12140	7183
mmu-mir-345-3p	8942	5282	3104	21100	12235	7217
