mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-3128	1	1	1	0	1	1
hsa-mir-7-5p	294	318	663	318	363	331
hsa-mir-3658	0	0	1	2	1	1
hsa-mir-548ag	0	0	0	1	0	0
hsa-mir-2467-5p	115	131	198	134	126	166
hsa-mir-520f-3p	1	1	0	0	1	2
hsa-mir-222-3p	1571	1727	4266	1336	1602	2098
hsa-mir-612	0	1	4	0	6	1
hsa-mir-29c-3p	360	288	586	287	346	323
hsa-mir-4511	1	11	10	8	11	9
hsa-mir-30c-2-3p	0	6	0	5	8	5
hsa-mir-1289	10	8	20	9	11	11
hsa-mir-6780a-5p	2	0	1	2	0	1
hsa-mir-644a	0	1	2	1	0	0
hsa-mir-4707-5p	27	29	74	16	40	37
hsa-mir-3141	6	15	12	13	13	13
hsa-mir-766-3p	2	9	9	0	6	1
hsa-mir-5047	0	1	0	1	1	0
hsa-mir-5001-5p	4	6	16	18	12	17
hsa-mir-4743-3p	0	0	1	0	1	0
hsa-mir-518c-3p	1	0	0	0	1	0
hsa-mir-5009-3p	0	2	1	0	1	0
hsa-mir-539-5p	1	0	2	0	1	0
hsa-mir-4787-5p	0	1	0	1	1	2
hsa-mir-548w	0	0	4	0	0	1
hsa-mir-4510	0	0	0	0	1	0
hsa-mir-4699-5p	1	0	5	2	3	4
hsa-mir-1237-5p	3	0	0	0	2	4
hsa-mir-1298-3p	0	0	0	0	0	1
hsa-mir-4649-5p	0	1	0	0	0	0
hsa-mir-361-5p	275	357	679	295	406	307
hsa-mir-548al	10	7	7	2	6	4
hsa-mir-106a-5p	20	21	31	19	30	15
hsa-mir-1294	4	3	16	3	3	7
hsa-mir-6877-3p	0	3	2	2	5	2
hsa-mir-585-3p	0	0	0	0	1	0
hsa-mir-600	2	0	0	1	2	0
hsa-mir-138-5p	30	24	53	22	29	23
hsa-mir-6084	0	0	2	0	2	0
hsa-mir-1287-5p	88	76	147	74	96	101
hsa-mir-1304-5p	4	9	6	5	6	6
hsa-mir-4536-5p	2	1	0	0	0	2
hsa-mir-141-5p	2394	2160	4236	2123	2546	2365
hsa-mir-5692b	1	2	0	0	0	0
hsa-mir-4314	0	0	0	0	1	0
hsa-mir-378j	0	1	0	0	1	0
hsa-mir-200b-5p	300	483	887	472	525	254
hsa-mir-1911-3p	0	0	10	1	1	3
hsa-mir-369-5p	2	3	8	6	0	4
hsa-mir-3664-5p	5	5	11	0	4	9
hsa-mir-3158-3p	82	65	132	65	79	54
hsa-mir-9-5p	1295	1292	2054	1207	1445	1382
hsa-mir-4664-3p	152	135	212	113	167	161
hsa-mir-4461	77	100	129	132	122	96
hsa-mir-345-5p	7319	6218	10733	6354	7669	7337
hsa-mir-4713-3p	0	1	0	0	0	1
hsa-mir-6845-5p	2	0	1	0	2	0
hsa-mir-3919	0	1	0	0	0	0
hsa-mir-6885-5p	0	0	0	0	0	2
hsa-mir-4742-3p	10	13	15	2	2	6
hsa-mir-4781-3p	5	5	4	5	2	8
hsa-mir-6782-5p	3	2	5	1	3	6
hsa-mir-4508	9	19	15	35	23	16
hsa-mir-6816-3p	0	0	0	1	0	0
hsa-mir-185-3p	74	63	110	68	87	78
hsa-mir-6747-5p	0	1	1	1	1	0
hsa-mir-891a-5p	1	0	3	2	1	1
hsa-mir-320b	328	341	671	304	380	372
hsa-mir-486-5p	2483	2525	4498	2671	3120	3356
hsa-mir-205-5p	4989	4460	6601	3648	4952	4674
hsa-mir-1228-3p	1	0	2	1	1	7
hsa-mir-3139	3	1	14	7	16	14
hsa-mir-421	1422	1539	2639	1478	1877	1730
hsa-mir-1246	143	288	303	280	281	174
hsa-mir-6805-5p	1	4	8	3	5	11
hsa-mir-663a	2	18	23	20	11	24
