	1.lane.clean.uniq.gz	2.lane.clean.uniq.gz	3.lane.clean.uniq.gz	4.lane.clean.uniq.gz	5.lane.clean.uniq.gz	6.lane.clean.uniq.gz	7.lane.clean.uniq.gz	8.lane.clean.uniq.gz	9.lane.clean.uniq.gz	10.lane.clean.uniq.gz	11.lane.clean.uniq.gz	12.lane.clean.uniq.gz
hsa-miR-1	1167	1911	1190	179717	129698	114090	164659	1253	375	554	345	348
hsa-miR-122-5p	145	349	156	295	95	187	155	183	157280	73426	145594	63610
hsa-miR-9-5p	86907	98965	74695	444	124	296	239	84410	136	256	134	137
hsa-miR-143-3p	27598	23711	21600	78973	66404	68549	96678	24126	16411	8800	10078	7491
hsa-miR-148a-3p	2079	2053	1646	6637	4126	4034	6276	1697	73860	40933	52708	32330
hsa-miR-21-5p	8279	8322	7029	14414	9933	11397	14733	6732	58983	28787	32407	26526
hsa-miR-128	52330	43536	43296	1084	732	858	925	46365	712	528	542	424
hsa-miR-26a-5p	34066	22957	25406	21004	13711	15298	21350	31658	16691	8089	8273	7334
hsa-miR-126-3p	9664	11051	7800	32199	16385	22271	24952	10121	11063	7232	5726	5850
hsa-miR-378a-3p	800	731	568	30486	20635	25678	30666	665	4219	2802	2558	1976
hsa-miR-27b-3p	16726	15475	15418	29640	17845	19193	24563	17163	25426	14369	12664	11851
hsa-miR-99a-5p	27976	23916	21078	15507	8606	12265	13504	25121	13855	7703	7226	6831
hsa-miR-100-5p	27771	25481	21089	3686	2884	3207	4709	22389	5543	3422	3622	2641
hsa-miR-192-5p	369	344	352	173	104	134	129	319	23254	11742	13179	10712
hsa-miR-499a-5p	268	295	237	20982	13831	17640	21193	305	123	78	63	55
hsa-miR-125b-5p	16058	17972	14429	7177	3938	5257	6357	19564	2424	1589	1189	1199
hsa-let-7f-5p	18316	18725	16464	13140	9525	10163	13993	18679	12183	6072	6694	5358
hsa-miR-30d-5p	7349	6877	5962	18107	12469	12939	18296	6437	5189	3067	2920	2203
hsa-miR-22-3p	4625	4672	3617	16438	10406	14951	17713	4795	9020	4463	5005	4648
hsa-miR-181a-5p	14450	16779	12660	1841	975	1442	1652	14907	697	506	370	416
hsa-let-7g-5p	15398	12825	13027	8823	5696	6723	8297	16012	10936	5335	5745	4791
hsa-miR-133a	83	126	91	13864	9911	10318	14972	87	26	35	18	22
