Country	Gold	Silver	Bronze
Afghanistan	0	0	1
Algeria	0	1	1
Argentina	2	0	4
Armenia	0	0	6
Australia	14	15	17
Austria	0	1	2
Azerbaijan	1	2	4
Bahamas	0	1	1
Bahrain	1	0	0
Belarus	4	5	10
Belgium	1	1	0
Brazil	3	4	8
Bulgaria	1	1	3
Cameroon	1	0	0
Canada	3	9	6
Chile	0	1	0
China	51	21	28
Chinese_Taipei	0	0	4
Colombia	0	1	1
Croatia	0	2	3
Cuba	2	11	11
Czech_Republic	3	3	0
Denmark	2	2	3
Dominican_Republic	1	1	0
Ecuador	0	1	0
Egypt	0	0	1
Estonia	1	1	0
Ethiopia	4	1	2
Finland	1	1	2
France	7	16	17
Georgia	3	0	3
Germany	16	10	15
Great_Britain	19	13	15
Greece	0	2	2
Hungary	3	5	2
Iceland	0	1	0
India	1	0	2
Indonesia	1	1	3
Iran	1	0	1
Ireland	0	1	2
Israel	0	0	1
Italy	8	10	10
Jamaica	6	3	2
Japan	9	6	10
Kazakhstan	2	4	7
Kenya	5	5	4
Kirghyzstan	0	1	1
Latvia	1	1	1
Lithuania	0	2	3
Malaysia	0	1	0
Mauritius	0	0	1
Mexico	2	0	1
Moldova	0	0	1
Mongolia	2	2	0
Morocco	0	1	1
Netherlands	7	5	4
New_Zealand	3	1	5
Nigeria	0	1	3
North_Korea	2	1	3
Norway	3	5	2
Panama	1	0	0
Poland	3	6	1
Portugal	1	1	0
Romania	4	1	3
Russia	23	21	28
Serbia	0	1	2
Singapore	0	1	0
Slovakia	3	2	1
Slovenia	1	2	2
South_Africa	0	1	0
South_Korea	13	10	8
Spain	5	10	3
Sudan	0	1	0
Sweden	0	4	1
Switzerland	2	0	4
Tajikistan	0	1	1
Thailand	2	2	0
Togo	0	0	1
Trinidad_and_Tobago	0	2	0
Tunisia	1	0	0
Turkey	1	4	3
Ukraine	7	5	15
United_States	36	38	36
Uzbekistan	1	2	3
Venezuela	0	0	1
Vietnam	0	1	0
Zimbabwe	1	3	0
